"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"DL","SFO","ATL","JFK","-1","0","5","0"
"AA","SFO","ORD","JFK","-6","35","8","35"
"DL","SFO","ATL","JFK","0","73","62","73"
"AA","SFO","MIA","JFK","-3","34","35","34"
"VX","SFO","LAX","JFK","14","-28","0","-28"
"VX","SFO","LAX","JFK","-1","-28","0","-28"
"B6","SFO","BOS","JFK","-8","194","195","194"
"DL","SFO","ATL","JFK","0","26","35","26"
"AA","SFO","ORD","JFK","26","21","8","21"
"B6","SFO","FLL","JFK","13","67","67","67"
"AA","SFO","ORD","JFK","-2","21","8","21"
"VX","SFO","LAX","JFK","0","40","62","40"
"B6","SFO","BOS","JFK","13","67","62","67"
"B6","SFO","BOS","JFK","13","69","68","69"
"B6","SFO","BOS","JFK","13","133","124","133"
"DL","SFO","ATL","JFK","-1","0","0","0"
"VX","SFO","LAX","JFK","-6","52","66","52"
"VX","SFO","LAX","JFK","85","-12","20","-12"
"VX","SFO","LAX","JFK","25","-12","20","-12"
"VX","SFO","LAX","JFK","-4","-12","20","-12"
"B6","SFO","BOS","JFK","-1","49","39","49"
"B6","SFO","FLL","JFK","8","2","0","2"
"DL","SFO","ATL","JFK","-9","-19","-2","-19"
"AA","SFO","ORD","JFK","-6","-31","-4","-31"
"DL","SFO","ATL","JFK","2","-13","1","-13"
"AA","SFO","MIA","JFK","2","-20","-1","-20"
"VX","SFO","LAX","JFK","5","-1","23","-1"
"DL","SFO","ATL","JFK","0","14","-2","14"
"VX","SFO","LAX","JFK","6","-1","23","-1"
"B6","SFO","BOS","JFK","-2","-8","-2","-8"
"DL","SFO","ATL","JFK","2","14","-2","14"
"AA","SFO","ORD","JFK","-3","-23","-5","-23"
"B6","SFO","FLL","JFK","-2","33","48","33"
"B6","SFO","FLL","JFK","-2","73","87","73"
"AA","SFO","ORD","JFK","-6","-23","-5","-23"
"VX","SFO","LAX","JFK","-1","-33","-4","-33"
"DL","SFO","ATL","JFK","-2","-24","-3","-24"
"VX","SFO","LAX","JFK","-6","-3","8","-3"
"VX","SFO","LAX","JFK","23","-15","0","-15"
"VX","SFO","LAX","JFK","-5","-15","0","-15"
